Participant,Condition,Block,Sequence,Trial,Amplitudes,Width,Event,time,Pos_x,Pos_y
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,708,1062,693
S01,C01,B01,1,1,400,40,MOUSEPOS,1128,1063,693
S01,C01,B01,1,1,400,40,MOUSEPOS,1143,1065,692
S01,C01,B01,1,1,400,40,MOUSEPOS,1154,1065,691
S01,C01,B01,1,1,400,40,MOUSEPOS,1154,1065,691
S01,C01,B01,1,1,400,40,MOUSEPOS,1154,1065,691
S01,C01,B01,1,1,400,40,MOUSEPOS,1154,1065,691
S01,C01,B01,1,1,400,40,MOUSEPOS,1154,1065,691
S01,C01,B01,1,1,400,40,MOUSEPOS,1154,1065,691
S01,C01,B01,1,1,400,40,MOUSEPOS,1154,1065,691
S01,C01,B01,1,1,400,40,MOUSEPOS,1154,1065,691
S01,C01,B01,1,1,400,40,MOUSEPOS,1154,1065,691
S01,C01,B01,1,1,400,40,MOUSEPOS,1252,1072,690
S01,C01,B01,1,1,400,40,MOUSEPOS,1262,1086,685
S01,C01,B01,1,1,400,40,MOUSEPOS,1273,1104,677
S01,C01,B01,1,1,400,40,MOUSEPOS,1283,1119,669
S01,C01,B01,1,1,400,40,MOUSEPOS,1294,1131,664
S01,C01,B01,1,1,400,40,MOUSEPOS,1304,1140,660
S01,C01,B01,1,1,400,40,MOUSEPOS,1314,1147,658
S01,C01,B01,1,1,400,40,MOUSEPOS,1324,1153,656
S01,C01,B01,1,1,400,40,MOUSEPOS,1335,1160,654
S01,C01,B01,1,1,400,40,MOUSEPOS,1345,1170,651
S01,C01,B01,1,1,400,40,MOUSEPOS,1355,1186,648
S01,C01,B01,1,1,400,40,MOUSEPOS,1366,1210,646
S01,C01,B01,1,1,400,40,MOUSEPOS,1378,1241,645
