Participant,Condition,Block,Sequence,Trial,Amplitudes,Width,Event,time,Pos_x,Pos_y
S01,C01,B02,1,1,200,30,MOUSEPOS,498,948,680
S01,C01,B02,1,1,200,30,MOUSEPOS,498,948,680
S01,C01,B02,1,1,200,30,MOUSEPOS,498,948,680
S01,C01,B02,1,1,200,30,MOUSEPOS,558,948,675
S01,C01,B02,1,1,200,30,MOUSEPOS,558,948,675
S01,C01,B02,1,1,200,30,MOUSEPOS,558,948,675
S01,C01,B02,1,1,200,30,MOUSEPOS,558,948,675
S01,C01,B02,1,1,200,30,MOUSEPOS,558,948,675
S01,C01,B02,1,1,200,30,MOUSEPOS,558,948,675
S01,C01,B02,1,1,200,30,MOUSEPOS,558,948,675
S01,C01,B02,1,1,200,30,MOUSEPOS,558,948,675
S01,C01,B02,1,1,200,30,MOUSEPOS,681,948,674
S01,C01,B02,1,1,200,30,MOUSEPOS,690,947,673
S01,C01,B02,1,1,200,30,MOUSEPOS,705,947,671
S01,C01,B02,1,1,200,30,MOUSEPOS,715,946,669
S01,C01,B02,1,1,200,30,MOUSEPOS,731,944,667
S01,C01,B02,1,1,200,30,MOUSEPOS,739,944,666
S01,C01,B02,1,1,200,30,MOUSEPOS,739,944,666
S01,C01,B02,1,1,200,30,MOUSEPOS,765,943,666
S01,C01,B02,1,1,200,30,MOUSEPOS,781,943,665
S01,C01,B02,1,1,200,30,MOUSEPOS,785,942,664
S01,C01,B02,1,1,200,30,MOUSEPOS,806,941,663
S01,C01,B02,1,1,200,30,MOUSEPOS,817,941,660
S01,C01,B02,1,1,200,30,MOUSEPOS,829,941,657
S01,C01,B02,1,1,200,30,MOUSEPOS,840,941,654
S01,C01,B02,1,1,200,30,MOUSEPOS,853,941,647
S01,C01,B02,1,1,200,30,MOUSEPOS,865,942,643
S01,C01,B02,1,1,200,30,MOUSEPOS,876,944,639
S01,C01,B02,1,1,200,30,MOUSEPOS,887,945,635
S01,C01,B02,1,1,200,30,MOUSEPOS,895,947,632
S01,C01,B02,1,1,200,30,MOUSEPOS,908,949,627
S01,C01,B02,1,1,200,30,MOUSEPOS,921,951,625
S01,C01,B02,1,1,200,30,MOUSEPOS,933,955,622
S01,C01,B02,1,1,200,30,MOUSEPOS,943,961,620
S01,C01,B02,1,1,200,30,MOUSEPOS,953,968,617
S01,C01,B02,1,1,200,30,MOUSEPOS,965,978,613
S01,C01,B02,1,1,200,30,MOUSEPOS,977,989,609
S01,C01,B02,1,1,200,30,MOUSEPOS,987,998,605
S01,C01,B02,1,1,200,30,MOUSEPOS,998,1007,603
S01,C01,B02,1,1,200,30,MOUSEPOS,1008,1017,601
S01,C01,B02,1,1,200,30,MOUSEPOS,1020,1031,600
S01,C01,B02,1,1,200,30,MOUSEPOS,1031,1045,600
S01,C01,B02,1,1,200,30,MOUSEPOS,1041,1060,600
S01,C01,B02,1,1,200,30,MOUSEPOS,1054,1080,600
S01,C01,B02,1,1,200,30,MOUSEPOS,1065,1097,600
S01,C01,B02,1,1,200,30,MOUSEPOS,1076,1112,599
S01,C01,B02,1,1,200,30,MOUSEPOS,1088,1124,598
S01,C01,B02,1,1,200,30,MOUSEPOS,1102,1135,596
S01,C01,B02,1,1,200,30,MOUSEPOS,1114,1142,595
S01,C01,B02,1,1,200,30,MOUSEPOS,1125,1147,594
S01,C01,B02,1,1,200,30,MOUSEPOS,1135,1151,592
S01,C01,B02,1,1,200,30,MOUSEPOS,1142,1154,591
S01,C01,B02,1,1,200,30,MOUSEPOS,1157,1158,589
S01,C01,B02,1,1,200,30,MOUSEPOS,1169,1161,587
S01,C01,B02,1,1,200,30,MOUSEPOS,1179,1163,585
S01,C01,B02,1,1,200,30,MOUSEPOS,1191,1165,583
S01,C01,B02,1,1,200,30,MOUSEPOS,1204,1166,581
S01,C01,B02,1,1,200,30,MOUSEPOS,1213,1166,580
S01,C01,B02,1,1,200,30,MOUSEPOS,1226,1167,577
S01,C01,B02,1,1,200,30,MOUSEPOS,1237,1168,575
S01,C01,B02,1,1,200,30,MOUSEPOS,1248,1169,571
S01,C01,B02,1,1,200,30,MOUSEPOS,1260,1170,567
S01,C01,B02,1,1,200,30,MOUSEPOS,1270,1171,565
S01,C01,B02,1,1,200,30,MOUSEPOS,1281,1172,561
S01,C01,B02,1,1,200,30,MOUSEPOS,1293,1172,559
S01,C01,B02,1,1,200,30,MOUSEPOS,1302,1172,558
S01,C01,B02,1,1,200,30,MOUSEPOS,1302,1172,558
S01,C01,B02,1,1,200,30,MOUSEPOS,1320,1172,557
S01,C01,B02,1,1,200,30,MOUSEPOS,1339,1172,556
S01,C01,B02,1,1,200,30,MOUSEPOS,1339,1172,556
S01,C01,B02,1,1,200,30,MOUSEPOS,1359,1171,555
S01,C01,B02,1,1,200,30,MOUSEPOS,1359,1171,555
