SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3
13.29,-0.341021,-0.372849,9.905997,-0.04008,-0.005396,0.106106,0.999712,-0.018488,0.015204,-0.00145
13.3,-0.335377,-0.366198,9.89381,-0.035516,0.000664,0.093512,0.999713,-0.018496,0.015182,-0.001418
13.31,-0.359347,-0.396785,9.967046,-0.057372,-0.026742,0.168523,0.999713,-0.018511,0.015173,-0.001371
13.32,-0.329671,-0.366348,9.918205,-0.028462,0.002276,0.117714,0.999712,-0.018534,0.015192,-0.001375
13.33,-0.31138,-0.366484,9.99747,-0.007906,0.004711,0.196338,0.999712,-0.018532,0.015194,-0.001369
13.34,-0.329587,-0.372307,9.942627,-0.027497,-0.002804,0.142327,0.999712,-0.018539,0.015204,-0.001396
13.35,-0.329081,-0.378663,9.936535,-0.028507,-0.008751,0.136459,0.999712,-0.018563,0.015164,-0.001393
13.36,-0.317193,-0.347699,10.009779,-0.014157,0.024275,0.20811,0.999712,-0.018551,0.015156,-0.001396
13.37,-0.328844,-0.383962,9.991481,-0.027444,-0.013037,0.191528,0.999713,-0.018533,0.01512,-0.001383
13.38,-0.323295,-0.372268,9.936531,-0.02343,-0.003101,0.136041,0.999713,-0.018537,0.015111,-0.001361
13.39,-0.341499,-0.384096,9.960954,-0.040554,-0.015006,0.161424,0.999714,-0.018503,0.01512,-0.001359
13.4,-0.311087,-0.366373,9.918213,-0.011751,0.002089,0.117157,0.999713,-0.018527,0.015112,-0.001398
13.41,-0.329226,-0.372536,9.997564,-0.027041,-0.001531,0.197194,0.999713,-0.01852,0.015125,-0.001412
13.42,-0.329671,-0.36032,9.924306,-0.029229,0.008938,0.123581,0.999712,-0.01855,0.015143,-0.001389
13.43,-0.323323,-0.360505,9.930339,-0.023636,0.008673,0.12942,0.999713,-0.018552,0.015118,-0.001353
13.44,-0.323448,-0.366201,9.936525,-0.023138,0.003432,0.135815,0.999712,-0.018558,0.015125,-0.001403
13.45,-0.353776,-0.390409,9.942647,-0.053777,-0.021158,0.143741,0.999713,-0.018536,0.015113,-0.001415
13.46,-0.323637,-0.372079,9.887699,-0.024372,-0.005226,0.08727,0.999713,-0.01852,0.015139,-0.001418
13.47,-0.342487,-0.384286,9.954818,-0.040221,-0.014022,0.155339,0.999712,-0.018543,0.015181,-0.001449
13.48,-0.335744,-0.347365,9.979265,-0.032576,0.022169,0.178187,0.999712,-0.018498,0.015197,-0.001463
13.49,-0.354045,-0.401677,9.942633,-0.052154,-0.032987,0.144161,0.999712,-0.018495,0.015203,-0.001484
13.5,-0.335329,-0.347932,9.973156,-0.033172,0.022145,0.172088,0.999712,-0.018507,0.015177,-0.0015
13.51,-0.34731,-0.397168,10.009749,-0.043377,-0.024479,0.210833,0.999711,-0.01855,0.015196,-0.001522
13.52,-0.329326,-0.378728,9.967038,-0.027298,-0.006948,0.166939,0.999711,-0.018588,0.015182,-0.001584
13.53,-0.359694,-0.397684,9.948621,-0.057606,-0.025714,0.150175,0.99971,-0.018625,0.015199,-0.001612
13.54,-0.359627,-0.390508,9.948752,-0.058807,-0.018998,0.150027,0.99971,-0.018622,0.015162,-0.00164
13.55,-0.340348,-0.383898,9.954868,-0.040125,-0.013264,0.155302,0.999712,-0.018588,0.015122,-0.001583
13.56,-0.341601,-0.366152,9.96705,-0.040826,0.005357,0.166849,0.999712,-0.018591,0.015112,-0.001556
13.57,-0.335266,-0.401997,9.936555,-0.035271,-0.033616,0.137526,0.999713,-0.018526,0.015118,-0.001544
13.58,-0.341588,-0.384438,9.906016,-0.042823,-0.01651,0.106563,0.999713,-0.018526,0.015108,-0.001525
13.59,-0.329166,-0.347734,9.881596,-0.030733,0.019253,0.080436,0.999713,-0.018528,0.015114,-0.001533
13.6,-0.341762,-0.396451,9.948743,-0.041297,-0.027483,0.149692,0.999713,-0.018508,0.015122,-0.001544
13.61,-0.310739,-0.359135,9.973179,-0.010803,0.00954,0.171782,0.999715,-0.018467,0.015079,-0.001575
13.62,-0.341668,-0.366502,9.954828,-0.041921,0.00318,0.154654,0.999714,-0.018505,0.015077,-0.001569
13.63,-0.323484,-0.373344,9.930305,-0.023596,-0.00368,0.129868,0.999713,-0.01855,0.015106,-0.001565
13.64,-0.311501,-0.372348,9.942619,-0.010551,-0.002376,0.14177,0.999712,-0.018561,0.01514,-0.001586
13.65,-0.31175,-0.366023,9.930335,-0.011181,0.002778,0.129273,0.999712,-0.018542,0.015149,-0.001534
13.66,-0.323434,-0.396338,9.942644,-0.022524,-0.027729,0.143044,0.999713,-0.018512,0.015154,-0.001506
13.67,-0.310875,-0.383689,9.954846,-0.010221,-0.014337,0.154384,0.999713,-0.018513,0.015134,-0.001513
13.68,-0.329344,-0.378523,9.948735,-0.029064,-0.008763,0.148645,0.999713,-0.018533,0.01512,-0.001518
13.69,-0.335448,-0.378862,9.930406,-0.034565,-0.009217,0.130539,0.999712,-0.018557,0.015153,-0.001501
13.7,-0.335532,-0.360582,9.912098,-0.035645,0.00981,0.111571,0.999711,-0.018615,0.015147,-0.001442
13.71,-0.347312,-0.37975,9.918117,-0.047825,-0.008527,0.118653,0.999711,-0.018651,0.015128,-0.001469
13.72,-0.342078,-0.38444,9.967034,-0.039765,-0.011772,0.167537,0.99971,-0.018651,0.015167,-0.001491
13.73,-0.335967,-0.378039,10.003588,-0.033489,-0.004637,0.20362,0.999711,-0.018631,0.015148,-0.001504
13.74,-0.329611,-0.378408,9.973144,-0.027483,-0.005741,0.173035,0.99971,-0.018639,0.015161,-0.001505
13.75,-0.316994,-0.372008,9.918145,-0.017788,-0.002183,0.117476,0.999711,-0.018618,0.015122,-0.001438
13.76,-0.323226,-0.378574,9.954837,-0.023004,-0.00641,0.154559,0.999711,-0.018641,0.015107,-0.001467
13.77,-0.322695,-0.366917,9.997557,-0.021608,0.007814,0.196777,0.999711,-0.018683,0.015086,-0.001428
13.78,-0.329306,-0.372306,9.93043,-0.030586,-0.000226,0.130127,0.999711,-0.018691,0.015068,-0.001432
13.79,-0.316622,-0.390475,9.924328,-0.018217,-0.018934,0.12433,0.999711,-0.018684,0.01506,-0.001425
13.8,-0.32977,-0.384353,9.954835,-0.029477,-0.011812,0.15497,0.999711,-0.018676,0.015088,-0.001396
13.81,-0.312006,-0.365534,9.942535,-0.01097,0.005625,0.141448,0.999711,-0.018646,0.015133,-0.00138
13.82,-0.329385,-0.360057,9.948739,-0.028881,0.011811,0.147964,0.999711,-0.01865,0.015123,-0.001366
13.83,-0.329545,-0.37247,9.930399,-0.028199,-0.000306,0.130118,0.999709,-0.018683,0.015168,-0.00137
13.84,-0.316923,-0.372028,9.948756,-0.01653,-0.000169,0.148051,0.99971,-0.018664,0.015131,-0.001294
13.85,-0.328885,-0.384354,9.930403,-0.027936,-0.011743,0.130545,0.999709,-0.018703,0.015158,-0.001318
13.86,-0.335845,-0.384512,9.960933,-0.03345,-0.010903,0.161258,0.999709,-0.018711,0.015184,-0.001324
13.87,-0.330242,-0.360424,9.924204,-0.028023,0.012613,0.123501,0.999708,-0.018741,0.015222,-0.001328
13.88,-0.335614,-0.378544,9.967039,-0.03243,-0.003544,0.167129,0.999707,-0.018761,0.015226,-0.001384
13.89,-0.347483,-0.390862,9.948648,-0.045565,-0.016594,0.14958,0.999707,-0.018764,0.015205,-0.001426
13.9,-0.329358,-0.378298,9.954846,-0.027382,-0.004024,0.154749,0.999708,-0.018761,0.015192,-0.001428
