SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Acc_X,Acc_Y,Acc_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3
0.35,0.005264,0.005035,0.011902,-0.023209,0.007078,0.111679,0.057698,-0.022101,9.924204,0.999961,0.001943,0.003288,0.007924
0.358333333,-0.006409,-0.000687,0.003662,0.000653,-0.015825,0.228849,0.029325,-0.007593,10.041504,0.999961,0.001916,0.003285,0.007939
0.366666667,0.00618,-0.008469,-0.001144,0.03245,0.014598,0.214092,0.007678,-0.044259,10.026742,0.999961,0.001942,0.00325,0.007934
0.375,0.004578,-0.008926,0.004578,-0.013449,0.012028,0.104464,0.051638,-0.029109,9.916991,0.999961,0.001961,0.003213,0.007952
0.383333333,-0.003662,-0.007553,0.010757,-0.008213,0.002062,0.221497,0.044947,-0.021784,10.034064,0.999961,0.001946,0.003182,0.007997
0.391666667,-0.006409,-0.009842,-0.003662,-0.037715,-0.027993,0.206961,0.066329,0.014382,10.019529,0.999961,0.00192,0.00314,0.007983
0.4,-0.005722,-0.001144,0,0.019403,0.017284,0.177524,0.022821,-0.044756,9.990119,0.999961,0.001896,0.003135,0.007983
0.408333333,0.00824,0.006638,-0.00824,-0.011341,-0.012028,0.126364,0.043671,-0.006981,9.938966,0.999962,0.00193,0.003163,0.007948
0.416666667,0.002289,-0.002975,0.00618,-0.001524,-0.007621,0.170295,0.036172,-0.013982,9.98291,0.999961,0.00194,0.003151,0.007974
0.425,0.003662,0.00206,0.010071,0.033331,-0.016273,0.177489,-0.000086,-0.014496,9.990235,0.999961,0.001954,0.00316,0.008015
0.433333333,-0.005264,0.00206,-0.001144,0.018804,-0.012771,0.082327,0.014335,-0.014637,9.895019,0.999961,0.001933,0.003168,0.00801
0.441666667,-0.000687,-0.003662,0.003662,-0.009381,-0.004844,0.067787,0.044096,-0.014677,9.88037,0.999961,0.00193,0.003153,0.008026
0.45,0.005951,-0.003891,0.002518,-0.007003,0.002578,0.133607,0.044335,-0.021841,9.946174,0.999961,0.001955,0.003137,0.008036
0.458333333,-0.001602,0.000916,0.001831,0.013096,0.019534,0.163011,0.029258,-0.044012,9.975586,0.999961,0.001948,0.003141,0.008043
0.466666667,0.000687,0.005722,0.004578,0.010844,0.012885,0.148347,0.028944,-0.036822,9.960938,0.999961,0.00195,0.003165,0.008063
0.475,0.006409,-0.008011,0.004578,-0.001432,-0.006207,0.141002,0.036953,-0.014383,9.953612,0.99996,0.001977,0.003132,0.008082
0.483333333,-0.008011,-0.001831,0.007324,0.000821,-0.022994,0.060263,0.029944,0.000127,9.872932,0.99996,0.001944,0.003124,0.008111
0.491666667,0.010986,-0.012589,-0.001831,0.00165,0.000845,0.119045,0.037142,-0.021518,9.93164,0.99996,0.00199,0.003072,0.008103
0.5,-0.004349,0.001144,0.011673,0.033777,-0.016972,0.170046,0.000982,-0.013914,9.982795,0.99996,0.001971,0.003077,0.008151
0.508333333,0.001144,0.004578,0.003662,-0.004677,-0.020484,0.118999,0.036432,0.000047,9.931641,0.99996,0.001976,0.003096,0.008165
0.516666667,-0.0103,-0.009155,0.007324,0.009084,-0.00232,0.104367,0.029217,-0.022399,9.91699,0.99996,0.001933,0.003057,0.008195
0.525,-0.001602,0.000916,0.000916,0.00674,-0.00951,0.148297,0.029259,-0.014715,9.960938,0.99996,0.001926,0.003061,0.0082
0.533333333,-0.009384,0.000229,0.007324,0.005504,0.012964,0.177672,0.036496,-0.037242,9.990233,0.99996,0.001887,0.003062,0.00823
0.541666667,-0.002747,-0.002518,0.007324,-0.014678,-0.0046,0.104436,0.051373,-0.014763,9.916991,0.999959,0.001876,0.003052,0.008261
0.55,0.006866,-0.001144,-0.00206,-0.035583,0.002006,0.126381,0.073404,-0.014707,9.93885,0.99996,0.001904,0.003047,0.008251
0.558333333,0.009155,-0.005264,0.005493,0.005564,-0.016434,0.140957,0.029515,-0.006945,9.953613,0.999959,0.001942,0.003025,0.008276
