SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3
6.63,0.154326,3.716996,9.657741,0.256509,-0.357243,0.527394,0.979646,0.196783,-0.003166,-0.039508
6.64,0.1931,3.949294,9.645764,0.312148,-0.259837,0.604069,0.978452,0.202358,-0.002866,-0.040929
6.65,0.128533,4.087784,9.234139,0.259796,-0.076656,0.282925,0.97727,0.207753,-0.002621,-0.042138
6.66,0.140253,4.151385,8.756409,0.279903,0.086465,-0.125492,0.976184,0.212609,-0.002413,-0.043091
6.67,0.14637,4.138431,8.597205,0.295461,0.06841,-0.275002,0.975252,0.216718,-0.002106,-0.043739
6.68,0.054431,4.02879,8.573221,0.213113,-0.081542,-0.342642,0.974438,0.220246,-0.001686,-0.044271
6.69,0.00459,3.82952,8.711631,0.171368,-0.388019,-0.305983,0.97362,0.223749,-0.001221,-0.044704
6.7,0.029558,3.80975,9.109105,0.210968,-0.668118,0.03614,0.972659,0.227792,-0.000786,-0.045227
6.71,-0.013609,3.834454,9.233084,0.175838,-0.810809,0.150438,0.971462,0.232721,-0.000584,-0.045848
6.72,0.253816,4.094675,9.192513,0.449075,-0.69261,0.219787,0.97005,0.238397,-0.000744,-0.046571
6.73,0.313384,4.383761,8.895206,0.504753,-0.423745,0.087044,0.968545,0.244308,-0.001344,-0.047259
6.74,0.242514,4.488297,8.438565,0.419021,-0.225338,-0.263576,0.967033,0.250086,-0.002295,-0.047943
6.75,0.148738,4.637984,8.23229,0.312704,-0.091809,-0.368299,0.965606,0.255405,-0.003406,-0.048592
6.76,0.048894,4.790411,8.099171,0.202147,0.016746,-0.404975,0.964254,0.260323,-0.00454,-0.049238
6.77,0.03641,4.785433,8.31972,0.17661,-0.194559,-0.218439,0.962898,0.265139,-0.005566,-0.049971
6.78,0.029448,4.923422,8.775263,0.159431,-0.419997,0.239348,0.961446,0.270198,-0.006552,-0.050715
6.79,0.315088,5.163081,8.962317,0.435737,-0.440974,0.516609,0.959902,0.275467,-0.007625,-0.051458
6.8,0.243875,5.384888,8.80717,0.357462,-0.28708,0.502902,0.958292,0.28088,-0.008691,-0.052032
6.81,0.315712,5.364831,8.551869,0.41625,-0.279077,0.275093,0.956689,0.286182,-0.009677,-0.052461
6.82,0.37653,5.421694,8.345151,0.469808,-0.222386,0.132511,0.955143,0.291217,-0.010517,-0.052755
6.83,0.291162,5.479296,8.38611,0.380276,-0.294091,0.197424,0.953636,0.29605,-0.011093,-0.053012
6.84,0.145699,5.625347,8.13251,0.244133,-0.121121,0.073079,0.952137,0.300781,-0.011389,-0.053259
6.85,0.184561,5.614409,8.474202,0.281418,-0.430425,0.341249,0.950604,0.305514,-0.011489,-0.053672
6.86,0.276626,5.851591,8.406824,0.388575,-0.30119,0.422047,0.94908,0.310116,-0.011539,-0.054244
6.87,0.189214,6.18801,8.086099,0.322376,0.077807,0.3658,0.947672,0.314293,-0.011641,-0.054785
6.88,0.125704,6.200161,7.709589,0.26594,0.246907,0.07485,0.946446,0.317895,-0.011769,-0.055177
6.89,0.152142,6.196616,7.459244,0.295822,0.340125,-0.124653,0.945433,0.32087,-0.011856,-0.05531
6.9,0.120869,6.092483,7.552716,0.258171,0.157909,-0.112961,0.944607,0.323302,-0.011875,-0.055241
6.91,0.191051,5.890629,7.506699,0.322331,-0.015842,-0.274226,0.943881,0.325433,-0.011804,-0.055152
6.92,0.119311,5.652208,7.731807,0.240689,-0.386547,-0.245295,0.943092,0.327709,-0.011685,-0.055213
6.93,0.297673,5.520157,8.136087,0.405871,-0.812387,-0.018216,0.942103,0.330493,-0.011764,-0.055484
6.94,0.268403,5.719412,8.505924,0.373704,-0.968098,0.388152,0.940872,0.33387,-0.012131,-0.056063
6.95,0.264162,6.099301,8.207622,0.378934,-0.572824,0.39339,0.939481,0.337651,-0.01283,-0.05659
6.96,0.138494,6.371835,7.518345,0.264885,0.004868,0.039939,0.938109,0.341375,-0.013642,-0.056822
6.97,0.226544,6.393208,7.215136,0.346465,0.156557,-0.177454,0.936987,0.344426,-0.014385,-0.056735
6.98,0.341343,6.143671,7.426945,0.431351,-0.204913,-0.1798,0.936268,0.346379,-0.015089,-0.056528
6.99,0.290147,6.01007,7.510766,0.364205,-0.371824,-0.203016,0.935863,0.347469,-0.01561,-0.056405
7,0.161405,5.830652,7.885959,0.213549,-0.763303,-0.03605,0.935522,0.348378,-0.015969,-0.056358
7.01,0.121895,5.694528,8.316382,0.156929,-1.185379,0.196053,0.934947,0.349921,-0.016109,-0.056301
7.02,0.199917,5.645461,8.480135,0.229546,-1.402645,0.277085,0.93396,0.352573,-0.016113,-0.056134
7.03,0.300579,5.911594,8.352854,0.342685,-1.222662,0.345783,0.932494,0.356484,-0.016139,-0.05581
7.04,0.340717,6.156192,7.94008,0.399085,-0.877241,0.193809,0.930696,0.361231,-0.016199,-0.055267
7.05,0.308859,6.284703,7.567875,0.376247,-0.644226,0.000977,0.928685,0.366465,-0.016294,-0.054608
7.06,0.255286,6.493735,7.200942,0.3369,-0.353677,-0.125186,0.926556,0.371915,-0.016305,-0.053921
7.07,0.240313,6.578871,7.141778,0.325108,-0.368047,-0.112069,0.924336,0.377472,-0.016308,-0.053402
7.08,0.180798,6.496294,7.180252,0.261014,-0.573436,-0.148715,0.921979,0.383216,-0.016383,-0.053215
7.09,0.310219,6.591778,7.559421,0.383037,-0.922133,0.172003,0.919364,0.389413,-0.016622,-0.053391
7.1,0.249702,7.12001,7.365863,0.339435,-0.561654,0.413769,0.916588,0.395842,-0.017125,-0.053686
7.11,-0.062787,7.695198,6.354768,0.066836,0.456817,0.15669,0.913953,0.401855,-0.017634,-0.053764
7.12,-0.034756,8.029575,5.612278,0.117309,1.150323,-0.084627,0.911983,0.406348,-0.017958,-0.05335
7.13,0.172683,8.147591,5.387466,0.322956,1.366625,-0.144922,0.911053,0.40852,-0.018145,-0.05257
7.14,0.329319,8.212754,5.563769,0.464808,1.308593,0.015071,0.91128,0.408128,-0.01827,-0.051644
7.15,0.303982,8.004239,6.258811,0.404922,0.727327,0.318441,0.912375,0.405792,-0.018319,-0.050683
7.16,0.254344,7.356453,6.890644,0.315407,-0.09908,0.264683,0.913751,0.40279,-0.018254,-0.049871
7.17,0.227539,6.751562,7.221449,0.265299,-0.706301,0.047091,0.91482,0.400429,-0.018036,-0.049356
7.18,0.303686,6.43289,7.646983,0.326935,-1.2382,0.102482,0.915165,0.39967,-0.017813,-0.049186
7.19,0.214664,6.521416,7.674862,0.242297,-1.240395,0.181367,0.914677,0.400799,-0.017684,-0.049132
7.2,0.1627,6.717011,7.17609,0.208052,-0.814559,-0.018102,0.913488,0.403521,-0.017606,-0.049003
7.21,0.238965,6.940225,6.76116,0.297316,-0.446701,-0.135463,0.911887,0.407156,-0.017633,-0.048739
7.22,0.29392,7.174804,6.56789,0.355799,-0.231448,-0.090513,0.910191,0.410962,-0.017864,-0.04841
7.23,0.285841,7.412986,6.276372,0.349549,0.076996,-0.101953,0.908661,0.414342,-0.018339,-0.048158
7.24,0.222624,7.599282,6.196522,0.285302,0.209736,-0.011165,0.907416,0.417048,-0.018839,-0.04809
7.25,0.075021,7.565937,6.149102,0.132308,0.18701,-0.065492,0.906383,0.419253,-0.019313,-0.048199
7.26,0.221262,7.498908,6.634758,0.260363,-0.279212,0.195142,0.905365,0.421392,-0.019774,-0.048492
7.27,0.286192,7.563966,6.804288,0.314903,-0.423703,0.351707,0.904265,0.423687,-0.020324,-0.048798
7.28,0.265121,7.558462,6.880412,0.28291,-0.549662,0.393107,0.90299,0.426346,-0.020893,-0.049004
7.29,0.325373,7.407432,6.777469,0.332632,-0.644058,0.2065,0.901474,0.429507,-0.021449,-0.049071
7.3,0.399306,7.382649,6.768889,0.397043,-0.743197,0.175819,0.899706,0.433179,-0.021971,-0.049014
7.31,0.433787,7.403852,6.68065,0.428412,-0.755923,0.131187,0.897742,0.437215,-0.022418,-0.048995
7.32,0.304974,7.490808,6.536712,0.303706,-0.685078,0.105551,0.89558,0.4416,-0.022747,-0.049072
7.33,0.235407,7.641342,6.416552,0.243155,-0.601578,0.147019,0.893267,0.44622,-0.022965,-0.049337
7.34,0.124852,7.985264,6.276294,0.149137,-0.382969,0.336307,0.890953,0.450783,-0.023086,-0.049638
7.35,0.20998,8.315079,5.865666,0.256947,0.05506,0.361836,0.888922,0.454749,-0.02319,-0.049831
7.36,0.150754,8.405992,5.450691,0.212864,0.38448,0.197303,0.887283,0.457944,-0.023206,-0.049768
7.37,0.16732,8.414535,5.300546,0.229742,0.468663,0.119861,0.886088,0.46029,-0.023224,-0.049422
7.38,0.318311,8.451792,5.513482,0.370436,0.278348,0.272836,0.885228,0.462005,-0.023159,-0.048841
7.39,0.344343,8.392874,5.685379,0.386045,0.073854,0.322788,0.884515,0.463438,-0.023069,-0.04823
7.4,0.384971,8.17584,5.607728,0.421137,-0.020165,0.099997,0.883765,0.464912,-0.023036,-0.047813
7.41,0.274687,8.148699,5.779076,0.305592,-0.216352,0.174011,0.882826,0.466686,-0.023115,-0.047823
7.42,0.187624,8.190777,5.628299,0.225765,-0.107962,0.124063,0.881814,0.468536,-0.023343,-0.048294
7.43,0.069256,8.176997,5.471782,0.110242,-0.021916,0.025793,0.880798,0.470348,-0.023801,-0.049006
7.44,0.147283,8.116903,5.151699,0.191197,0.164615,-0.201132,0.879729,0.472238,-0.024458,-0.049694
7.45,0.139122,8.026268,5.463809,0.160461,-0.189281,-0.10538,0.878631,0.474175,-0.025248,-0.050287
7.46,0.194063,7.923813,5.473295,0.197445,-0.305033,-0.187242,0.877433,0.476296,-0.026194,-0.050661
7.47,0.192113,7.90272,5.377235,0.183558,-0.288428,-0.258242,0.876141,0.478593,-0.027164,-0.050872
7.48,0.207203,7.871174,5.212614,0.188946,-0.227871,-0.374375,0.874669,0.481202,-0.028178,-0.05104
7.49,0.285954,7.883849,5.465326,0.242954,-0.510894,-0.232176,0.872942,0.484242,-0.02919,-0.051286
7.5,0.310195,7.946207,5.704015,0.243703,-0.768667,-0.059565,0.870897,0.4878,-0.030256,-0.051703
7.51,0.4249,8.18813,5.769342,0.342972,-0.8074,0.174355,0.86851,0.491904,-0.0315,-0.052246
7.52,0.341637,8.450974,5.455666,0.262822,-0.505094,0.235938,0.865948,0.496267,-0.032788,-0.052701
7.53,0.420504,8.53106,5.026321,0.344828,-0.196258,0.08991,0.863428,0.500531,-0.034077,-0.05291
7.54,0.483867,8.664933,4.940788,0.393397,-0.144352,0.164801,0.861146,0.504356,-0.035355,-0.052929
7.55,0.572743,8.789465,4.774628,0.472841,-0.011795,0.195088,0.85923,0.507536,-0.036574,-0.052861
7.56,0.452042,8.944277,4.910265,0.332444,-0.102682,0.394846,0.857687,0.510079,-0.037524,-0.052774
7.57,0.327985,8.708196,4.78914,0.20182,-0.144602,0.127849,0.856407,0.512185,-0.03818,-0.052689
7.58,0.233154,8.343845,4.959384,0.086942,-0.508406,-0.117154,0.855115,0.514312,-0.038546,-0.052694
